,Time,User,Tweet
0,2022-04-15 10:36:59+00:00,JohnGregoryJr,RT @AstuteCFO: I can report that COVID-19 has been eradicated worldwide. The pandemic is over
1,2022-04-15 10:36:57+00:00,MSohail44,"RT @SaherShafaq: tackling the challenge of Covid-19 through its ‘smart lockdown strategy, Pakistan had been recently ranked by The Economis…"
2,2022-04-15 10:36:56+00:00,bjm_teacher,"RT @TheNFER: Since the start of the #Covid19 pandemic, a range of studies have used standardised test data to estimate the impact of this d…"
3,2022-04-15 10:36:55+00:00,Mahmoudczxcxz,RT @Forbes: How much money are at-home Covid-19 tests bringing in? https://t.co/6nw2ay9bw0 https://t.co/aVunSmnHOw
4,2022-04-15 10:36:53+00:00,FlyingElectra,@summerbrennan WTF getting the sypphillis maybe 🤔 but Covid-19 ? Even kids get Covid-19 ! For God’s sake 😂
